,1.quantity,1.price,2.quantity,2.price,3.quantity,3.price,4.quantity,4.price,5.quantity,5.price,ScripCode
80,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,509480
81,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532432
82,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532343
83,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,543458
84,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500116
85,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500420
86,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500093
87,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500530
88,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,543320
89,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,517334
90,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532461
91,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500182
92,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532483
93,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,543220
94,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500850
95,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,500251
96,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,543904
97,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,540716
98,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,512070
99,-,0.00,-,0.00,-,0.00,-,0.00,-,0.00,532286
