,peers_ScripCode,ResQtr,peers_Name,LTP,Change,w52hi,w52hidt,w52lo,w52lodt,Revenue,PAT,Equity,OPM,NPM,RONW,EPS,Cash_EPS,PE,PB,BV,Results_QuarterName,SHP_QuarterName,PnPGrp,INDIAN,Foreign,Public,Institution,FII,DII,NonIns,Bodies_Corporate,FACE_VALUE,ScripCode
35,532822,117.0,IDEA,7.07,1.14,10.23,2022-05-31T00:00:00,5.7,2023-03-31T00:00:00,10474.9,-6519.3,48679.7,38.4,-62.24,-13.39,-6.02,-1.43,-1.17,0.0,0.0,Mar - 23,,,,,,,,,,,10.0,532454
36,500483,117.0,TATACOMM,1270.5,0.95,1429.95,2023-01-12T00:00:00,856.0,2022-06-15T00:00:00,1897.36,-137.78,285.0,12.58,-7.26,-48.34,23.37,58.32,54.36,0.0,0.0,Mar - 23,,,,,,,,,,,10.0,532454
37,532371,117.0,TTML,61.16,-0.31,149.0,2022-09-02T00:00:00,49.8,2023-03-29T00:00:00,280.13,-277.07,1954.93,47.69,-98.91,-14.17,-5.86,-5.1,-10.44,0.0,0.0,Mar - 23,,,,,,,,,,,10.0,532454
38,500034,100.0,BAJFINANCE,6902.65,0.95,7777.0,2022-09-22T00:00:00,5235.6,2022-06-17T00:00:00,4664.77,1022.73,0.0,68.63,21.92,0.0,60.52,62.73,114.06,0.0,0.0,Dec - 18,,,,,,,,,,,2.0,500034
39,511218,100.0,SHRIRAMFIN,1383.2,0.56,1509.25,2022-07-25T00:00:00,1102.1,2022-05-26T00:00:00,3991.04,635.45,226.91,73.19,15.92,280.04,86.5,88.33,15.99,0.0,0.0,Dec - 18,,,,,,,,,,,10.0,500034
40,532720,100.0,M&MFIN,280.05,-1.15,296.35,2023-05-09T00:00:00,160.6,2022-05-26T00:00:00,2222.52,318.66,0.0,69.89,14.34,0.0,22.56,23.44,12.41,0.0,0.0,Dec - 18,,,,,,,,,,,2.0,500034
41,511243,101.0,CHOLAFIN,1050.15,-0.89,1069.45,2023-05-23T00:00:00,594.0,2022-06-14T00:00:00,1885.08,291.86,156.42,77.6,15.48,186.59,75.86,79.41,13.84,0.0,0.0,Mar - 19,Mar - 23,423126532.0,421923059.0,1203473.0,398913824.0,176438859.0,0.0,176438859.0,222474965.0,0.0,2.0,500034
42,500247,117.0,KOTAKBANK,1944.95,0.78,1997.0,2022-11-18T00:00:00,1630.0,2022-06-30T00:00:00,9820.94,3495.59,993.28,47.32,35.59,351.92,55.07,55.07,35.32,0.0,0.0,Mar - 23,,,,,,,,,,,5.0,500247
43,500180,117.0,HDFCBANK,1615.5,0.37,1733.95,2023-05-04T00:00:00,1271.75,2022-06-17T00:00:00,45119.36,12047.45,557.97,41.27,26.7,2159.16,79.05,79.05,20.44,0.0,0.0,Mar - 23,,,,,,,,,,,1.0,500247
44,532187,117.0,INDUSINDBK,1268.2,0.36,1275.5,2023-05-24T00:00:00,763.75,2022-06-23T00:00:00,10020.71,2040.51,775.9,37.45,20.36,262.99,95.24,95.24,13.32,0.0,0.0,Mar - 23,Mar - 23,117516010.0,0.0,117516010.0,658379188.0,187891472.0,0.0,187891472.0,470487716.0,0.0,10.0,500247
45,539437,117.0,IDFCFIRSTB,69.88,2.79,70.0,2023-05-26T14:59:17,28.95,2022-06-22T00:00:00,6424.35,802.62,6618.12,24.26,12.49,12.13,3.68,3.68,18.99,0.0,0.0,Mar - 23,Mar - 23,2646438348.0,2646438348.0,0.0,3971683468.0,768767087.0,0.0,768767087.0,3202916381.0,0.0,10.0,500247
46,543526,,LICI,604.05,0.07,841.0,2022-05-30T00:00:00,530.2,2023-03-29T00:00:00,,,,,,,,,,,,,,,,,,,,,,,10.0,543526
47,500271,100.0,MFSL,687.1,1.72,884.7,2022-08-01T00:00:00,599.3,2023-04-26T00:00:00,176.36,139.89,53.8,79.56,79.32,260.02,5.43,5.5,126.54,0.0,0.0,Dec - 18,,,,,,,,,,,2.0,543526
48,500510,117.0,LT,2218.0,0.55,2416.0,2023-05-02T00:00:00,1456.8,2022-06-20T00:00:00,36734.13,3002.85,281.1,12.53,8.17,1068.25,55.85,65.6,39.71,0.0,0.0,Mar - 23,,,,,,,,,,,2.0,500510
